site_id,water,survey,year,nytme,nytmn,Detected
Butternut Creek7,Butternut Creek,493030,1993,490233,4728523,0
Button Creek1,Button Creek,711378,2011,478405,4737106,0
Cahoon Creek1,Cahoon Creek,408284,2008,474213,4702270,0
Calhoun Creek2,Calhoun Creek,407744,2007,478151,4712601,0
Callahan Brook1,Callahan Brook,711616,2011,445176,4751189,0
Callahan Brook1,Callahan Brook,723016,2023,447505,4748476,0
Callahan Brook2,Callahan Brook,711616,2011,442085,4751741,0
Callan Creek1,Callan Creek,719031,2019,402003,4730968,0
Campbell Brook1,Campbell Brook,409354,2009,480760,4741285,0
Campbell Brook2,Campbell Brook,409354,2009,484387,4742633,0
Campbell Creek1,Campbell Creek,893016,1993,302130,4689521,1
Campbell Creek2,Campbell Creek,893016,1993,293230,4686221,0
Canacadea Creek2,Canacadea Creek,994318,1994,273794,4687372,0
Canasawacta Creek2,Canasawacta Creek,709007,2009,448008,4716700,1
Canisteo River1,Canisteo River,802013,2002,322646,4663834,0
Canisteo River2,Canisteo River,802013,2002,316538,4664063,0
Canisteo River3,Canisteo River,802013,2002,309978,4665218,0
Canisteo River4,Canisteo River,802013,2002,307641,4671626,0
Canisteo River5,Canisteo River,802013,2002,300705,4675173,0
Canisteo River6,Canisteo River,802013,2002,300599,4677248,0
Canisteo River7,Canisteo River,802013,2002,297653,4680265,0
Carrs Creek1,Carrs Creek,405013,2005,474014,4683501,0
Carrs Creek1,Carrs Creek,415024,2015,479716,4682714,0
Carrs Creek1,Carrs Creek,416031,2016,484615,4681092,0
Carrs Creek1,Carrs Creek,417054,2017,484615,4681092,0
Carrs Creek2,Carrs Creek,415024,2015,480743,4682245,1
Carrs Creek2,Carrs Creek,416031,2016,482478,4682093,0
Carrs Creek2,Carrs Creek,417054,2017,482478,4682093,0
Carrs Creek3,Carrs Creek,405013,2005,478626,4682234,0
Carrs Creek3,Carrs Creek,415024,2015,482478,4682093,0
Carrs Creek4,Carrs Creek,405013,2005,480995,4682267,0
Carrs Creek4,Carrs Creek,415024,2015,484612,4681007,0
Carrs Creek5,Carrs Creek,405013,2005,482652,4681666,0
Carrs Creek6,Carrs Creek,405013,2005,484610,4680988,0
Cascade Creek1,Cascade Creek,717001,2017,452073,4649926,0
Castle Creek1,Castle Creek,801017,2001,297345,4700112,0
Castle Creek1,Castle Creek,810052,2010,296130,4697971,0
Castle Creek1,Castle Creek,811053,2011,296104,4697960,0
Castle Creek1,Castle Creek,814229,2014,296831,4699415,0
Castle Creek1,Castle Creek,894111,1994,296230,4698621,0
Castle Creek1,Castle Creek,896007,1996,297395,4700064,0
Castle Creek1,Castle Creek,896013,1996,296285,4698128,0
Castle Creek2,Castle Creek,896013,1996,296359,4698724,0
Catatonk Creek1,Catatonk Creek,707901,2007,376809,4674103,0
Cayuta Creek1,Cayuta Creek,794012,1994,371131,4667321,0
Cayuta Creek1,Cayuta Creek,801020,2001,371378,4666423,0
Cayuta Creek1,Cayuta Creek,890016,1990,371331,4666521,1
Cayuta Creek10,Cayuta Creek,890016,1990,358031,4685922,1
Cayuta Creek11,Cayuta Creek,898007,1998,369980,4673627,0
Cayuta Creek12,Cayuta Creek,801020,2001,366947,4676300,0
Cayuta Creek12,Cayuta Creek,818020,2018,367063,4676329,0
Cayuta Creek12,Cayuta Creek,823015,2023,367114,4676269,0
